AgentKey,AgentType,TransactionSides,TotalSalesVolume,GCI
164286169.0,REALTOR,3,1585386.0,44390.808000000005
164914632.0,REALTOR,6,2813350.0,78773.8
164919145.0,NON-REALTOR,2,1580000.0,44240.0
164919145.0,REALTOR,2,1339000.0,37492.0
167732985.0,REALTOR,1,19750.0,553.0
168670678.0,REALTOR,8,6908000.0,193424.0
169321334.0,REALTOR,6,5087586.0,142452.408
169342359.0,REALTOR,1,314173.0,8796.844000000001
169343502.0,REALTOR,9,4663500.0,130578.0
169344418.0,REALTOR,2,1270000.0,35560.0
169347045.0,REALTOR,2,2196650.0,61506.200000000004
170308172.0,REALTOR,5,2545000.0,71260.0
170310457.0,REALTOR,1,980000.0,27440.0
170641650.0,REALTOR,1,610000.0,17080.0
172547941.0,NON-REALTOR,1,250000.0,7000.0
172547941.0,REALTOR,3,1222500.0,34230.0
173833826.0,REALTOR,4,3945000.0,110460.0
174475954.0,REALTOR,4,5690000.0,159320.0
174481394.0,NON-REALTOR,5,1714900.0,48017.200000000004
174481394.0,REALTOR,23,9711575.0,271924.1
174488836.0,REALTOR,5,2673500.0,74858.0
175447907.0,REALTOR,2,778000.0,21784.0
175454211.0,REALTOR,3,1870000.0,52360.0
175457692.0,REALTOR,1,630000.0,17640.0
175462983.0,REALTOR,2,946000.0,26488.0
176115332.0,REALTOR,7,4334740.0,121372.72
176116896.0,REALTOR,2,856000.0,23968.0
176120088.0,REALTOR,1,1150000.0,32200.0
176120610.0,REALTOR,2,1550500.0,43414.0
176773773.0,REALTOR,3,2459050.0,68853.4
176774224.0,REALTOR,2,1625000.0,45500.0
179033164.0,REALTOR,2,5475000.0,153300.0
179038068.0,REALTOR,3,2435000.0,68180.0
179041325.0,NON-REALTOR,2,270000.0,7560.0
179041325.0,REALTOR,5,2864950.0,80218.6
179046238.0,REALTOR,3,1454000.0,40712.0
179047688.0,REALTOR,1,3500000.0,98000.0
179714793.0,REALTOR,3,2930000.0,82040.0
180372494.0,REALTOR,1,683350.0,19133.8
180373000.0,REALTOR,1,75000.0,2100.0
180376700.0,REALTOR,2,850000.0,23800.0
180388644.0,REALTOR,1,609000.0,17052.0
181046333.0,REALTOR,5,3894868.0,109056.304
181047871.0,REALTOR,2,864837.0,24215.436
181053510.0,REALTOR,4,4975000.0,139300.0
181055016.0,REALTOR,4,1670000.0,46760.0
182036164.0,REALTOR,1,435000.0,12180.0
183993596.0,REALTOR,1,526500.0,14742.0
183995677.0,REALTOR,23,11206900.0,313793.2
183996493.0,REALTOR,1,500000.0,14000.0
184659875.0,REALTOR,3,1515000.0,42420.0
