AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
164916601.0,NON-REALTOR,2024,1,715000.0,20020.0
167732985.0,REALTOR,2024,4,1100000.0,32450.0
168046813.0,REALTOR,2024,4,2124000.0,62552.0
168670678.0,REALTOR,2024,8,4642000.0,135340.0
168671720.0,NON-REALTOR,2024,1,395000.0,11850.0
169319822.0,REALTOR,2024,3,2293000.0,66064.0
169321334.0,REALTOR,2024,2,1142000.0,34260.0
169342359.0,REALTOR,2024,1,688493.0,20654.79
169343502.0,REALTOR,2024,2,2051000.0,61530.0
169344418.0,REALTOR,2024,1,535000.0,14980.0
169347045.0,REALTOR,2024,1,626000.0,18780.0
170308172.0,REALTOR,2024,6,4389500.0,125690.0
170310457.0,REALTOR,2024,6,3963000.0,117054.0
170641513.0,REALTOR,2024,2,1068000.0,29904.0
170641650.0,REALTOR,2024,2,821000.0,22988.0
172547941.0,NON-REALTOR,2024,5,1630000.0,46655.0
173833826.0,NON-REALTOR,2024,7,4530600.0,128654.8
174475954.0,REALTOR,2024,8,9166100.0,264956.0
174481394.0,NON-REALTOR,2024,24,8849420.0,252893.8
174488836.0,REALTOR,2024,4,2869000.0,83556.0
175454211.0,REALTOR,2024,1,314000.0,9420.0
175462983.0,REALTOR,2024,9,3645630.0,104367.44
176113519.0,REALTOR,2024,1,850000.0,25500.0
176115332.0,REALTOR,2024,2,1200000.0,34700.0
176116896.0,NON-REALTOR,2024,1,515000.0,15450.0
176120610.0,REALTOR,2024,3,1648500.0,47558.0
176125342.0,REALTOR,2024,1,517595.0,14492.66
179032298.0,NON-REALTOR,2024,1,367000.0,10276.0
179035007.0,NON-REALTOR,2024,2,878000.0,24584.0
179038068.0,REALTOR,2024,3,761000.0,22250.0
179041325.0,NON-REALTOR,2024,8,3078900.0,87747.2
179046238.0,REALTOR,2024,8,2957000.0,86978.0
179047688.0,REALTOR,2024,2,2505000.0,73740.0
180369857.0,REALTOR,2024,1,589900.0,16517.2
180373000.0,REALTOR,2024,3,303000.0,8484.0
180376700.0,REALTOR,2024,1,399000.0,11172.0
181043870.0,REALTOR,2024,1,315000.0,9450.0
181046333.0,REALTOR,2024,4,3297500.0,95616.0
181047871.0,REALTOR,2024,12,6609000.0,194558.0
181053510.0,REALTOR,2024,6,7650040.0,221843.2
181055016.0,REALTOR,2024,2,498650.0,14959.5
182036164.0,REALTOR,2024,2,1152500.0,33520.0
183992193.0,REALTOR,2024,1,670000.0,18760.0
183995677.0,REALTOR,2024,21,9886750.0,289356.0
184659875.0,REALTOR,2024,12,12436250.0,355305.0
184665088.0,REALTOR,2024,1,931000.0,27930.0
184673105.0,REALTOR,2024,3,2325000.0,67550.0
184676780.0,REALTOR,2024,11,8604000.0,255082.0
185661112.0,REALTOR,2024,12,9128550.0,260865.7
185663892.0,REALTOR,2024,1,530000.0,15900.0
185678761.0,REALTOR,2024,4,3822000.0,114660.0
187681147.0,REALTOR,2024,4,2140000.0,63460.0
187685503.0,NON-REALTOR,2024,3,1780900.0,52857.0
187685553.0,NON-REALTOR,2024,4,3169500.0,88746.0
187685984.0,REALTOR,2024,1,2175000.0,65250.0
187686392.0,REALTOR,2024,1,410000.0,12300.0
187689674.0,NON-REALTOR,2024,5,2744800.0,81344.0
187690011.0,REALTOR,2024,1,684950.0,19178.600000000002
187692111.0,NON-REALTOR,2024,1,475000.0,14250.0
187692111.0,REALTOR,2024,1,520000.0,14560.0
187692112.0,REALTOR,2024,5,3296000.0,95500.0
188695364.0,REALTOR,2024,3,1390000.0,40650.0
188695616.0,REALTOR,2024,1,660000.0,18480.0
190353702.0,REALTOR,2024,4,3443000.0,100690.0
190362149.0,REALTOR,2024,14,7873900.0,223627.2
190369042.0,NON-REALTOR,2024,6,3658500.0,106530.0
191036847.0,REALTOR,2024,4,1834200.0,55026.0
191038717.0,REALTOR,2024,2,2302000.0,66366.0
191046690.0,NON-REALTOR,2024,1,475000.0,14250.0
191721292.0,REALTOR,2024,8,7645094.0,217072.432
191722136.0,NON-REALTOR,2024,8,4542450.0,128578.6
191730792.0,REALTOR,2024,3,1770000.0,52050.0
191731453.0,NON-REALTOR,2024,2,1540000.0,46200.0
191733316.0,REALTOR,2024,1,815000.0,22820.0
192418912.0,REALTOR,2024,6,5560500.0,162231.0
192421232.0,NON-REALTOR,2024,1,640000.0,17920.0
192428387.0,NON-REALTOR,2024,1,180000.0,5400.0
193461719.0,REALTOR,2024,5,3285000.0,96310.0
193811160.0,NON-REALTOR,2024,1,955000.0,26740.0
195837944.0,REALTOR,2024,3,1107000.0,32530.0
195841505.0,REALTOR,2024,2,1940000.0,58200.0
196867064.0,REALTOR,2024,6,3662500.0,104320.0
196867633.0,REALTOR,2024,4,1884000.0,53682.0
196870630.0,REALTOR,2024,2,993500.0,29805.0
196872982.0,REALTOR,2024,2,1285500.0,35994.0
198227825.0,REALTOR,2024,1,595000.0,17850.0
198236169.0,REALTOR,2024,1,512900.0,14361.2
198237233.0,REALTOR,2024,4,2569950.0,76028.6
198239812.0,REALTOR,2024,1,420000.0,12600.0
198594321.0,REALTOR,2024,20,16246220.0,466622.6
198613263.0,REALTOR,2024,1,344000.0,10320.0
198615542.0,REALTOR,2024,2,1795000.0,53850.0
199985301.0,REALTOR,2024,1,960000.0,26880.0
199990815.0,REALTOR,2024,6,3533000.0,100950.0
199994265.0,NON-REALTOR,2024,1,520000.0,15600.0
199997686.0,NON-REALTOR,2024,3,1821750.0,54652.5
2004367360.0,REALTOR,2024,3,1696000.0,50880.0
2004367658.0,NON-REALTOR,2024,1,402500.0,12075.0
2004367853.0,REALTOR,2024,14,1607400.0,45910.2
2004379230.0,NON-REALTOR,2024,3,1204000.0,33712.0
2004390433.0,NON-REALTOR,2024,1,425000.0,12750.0
2004393057.0,NON-REALTOR,2024,1,850000.0,25500.0
2004397186.0,REALTOR,2024,6,3390000.0,94920.0
2004401271.0,NON-REALTOR,2024,1,410000.0,11480.0
2004402489.0,REALTOR,2024,3,2130000.0,59640.0
2004402554.0,NON-REALTOR,2024,3,1115973.0,31247.244
2004408801.0,REALTOR,2024,1,630000.0,17640.0
2004438588.0,REALTOR,2024,6,4801000.0,136540.0
2004440220.0,NON-REALTOR,2024,4,1980950.0,55466.6
2004440741.0,REALTOR,2024,1,498990.0,13971.720000000001
2004443032.0,REALTOR,2024,5,4367490.0,126314.72
2004443087.0,REALTOR,2024,1,325000.0,9750.0
2004443111.0,NON-REALTOR,2024,1,650000.0,18200.0
2004445838.0,NON-REALTOR,2024,1,850000.0,23800.0
2004457911.0,REALTOR,2024,4,2825000.0,81810.0
2004459159.0,REALTOR,2024,1,820000.0,24600.0
2004467692.0,NON-REALTOR,2024,6,5909000.0,171022.0
2004474608.0,REALTOR,2024,2,1315000.0,36820.0
2004475314.0,NON-REALTOR,2024,1,360000.0,10800.0
2004475435.0,REALTOR,2024,2,1038000.0,30102.0
2004485910.0,REALTOR,2024,6,4044000.0,117036.0
2004486099.0,NON-REALTOR,2024,1,410000.0,12300.0
2004494363.0,REALTOR,2024,1,675000.0,18900.0
2004501548.0,REALTOR,2024,7,3914000.0,113668.0
2004518393.0,REALTOR,2024,1,510000.0,15300.0
2004529080.0,REALTOR,2024,1,475000.0,14250.0
2004546261.0,REALTOR,2024,6,2732900.0,78503.2
2004546881.0,REALTOR,2024,1,430000.0,12900.0
2004559216.0,NON-REALTOR,2024,1,535000.0,14980.0
2004571305.0,NON-REALTOR,2024,3,1923000.0,56190.0
2004573926.0,NON-REALTOR,2024,1,545000.0,15260.0
2004580956.0,REALTOR,2024,5,2725000.0,79900.0
2004602518.0,REALTOR,2024,3,1255000.0,37020.0
2004604000.0,NON-REALTOR,2024,1,520000.0,14560.0
2004607165.0,NON-REALTOR,2024,1,365000.0,10950.0
2004614778.0,REALTOR,2024,7,3611000.0,101108.0
2004620015.0,NON-REALTOR,2024,1,295000.0,8260.0
2004620018.0,NON-REALTOR,2024,1,336000.0,9408.0
2004631544.0,NON-REALTOR,2024,1,672000.0,18816.0
2004635488.0,REALTOR,2024,7,4540000.0,135190.0
2004635618.0,REALTOR,2024,2,1010000.0,30300.0
2004637432.0,REALTOR,2024,1,800000.0,24000.0
2004638441.0,NON-REALTOR,2024,1,375000.0,10500.0
2004642979.0,REALTOR,2024,2,1375000.0,39350.0
2004649740.0,NON-REALTOR,2024,1,1050000.0,31500.0
2004649740.0,REALTOR,2024,3,5045000.0,143290.0
2004678471.0,REALTOR,2024,1,539500.0,16185.0
