AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
144572825.0,REALTOR,2024,5,1072500.0,31935.0
144572825.0,REALTOR,2025,3,725500.0,21666.0
145567209.0,REALTOR,2024,1,374900.0,10497.2
145567209.0,REALTOR,2025,2,1431500.0,41605.0
148448844.0,NON-REALTOR,2024,2,5285000.0,153580.0
148448844.0,NON-REALTOR,2025,1,675000.0,20250.0
149110599.0,REALTOR,2024,1,620000.0,17360.0
149110599.0,REALTOR,2025,2,1280000.0,35840.0
150654941.0,REALTOR,2025,3,4450000.0,131300.0
150656768.0,REALTOR,2024,2,1036000.0,30410.0
150656768.0,REALTOR,2025,1,1100000.0,30800.0
150657654.0,NON-REALTOR,2024,3,1255000.0,35140.0
150657654.0,NON-REALTOR,2025,5,2197000.0,62376.0
151577282.0,REALTOR,2024,4,2542500.0,73955.0
151577282.0,REALTOR,2025,4,2081500.0,60895.0
151578221.0,REALTOR,2024,4,2561000.0,75500.0
151578221.0,REALTOR,2025,7,5404000.0,158074.0
152799762.0,REALTOR,2024,1,607500.0,17010.0
156143342.0,REALTOR,2024,3,1247000.0,36900.0
156143342.0,REALTOR,2025,2,922000.0,26670.0
156760984.0,REALTOR,2024,4,1283500.0,38505.0
156760984.0,REALTOR,2025,2,848000.0,25440.0
156763167.0,REALTOR,2024,1,492000.0,14760.0
156763167.0,REALTOR,2025,3,2113000.0,61374.0
156765490.0,REALTOR,2024,2,1052500.0,30785.0
156767800.0,REALTOR,2024,1,660000.0,19800.0
156768059.0,NON-REALTOR,2024,2,1749000.0,48972.0
156768828.0,REALTOR,2024,2,1449900.0,42087.2
156768828.0,REALTOR,2025,3,1960916.0,57386.648
156769376.0,NON-REALTOR,2024,1,815000.0,22820.0
157080039.0,REALTOR,2024,2,2640000.0,79200.0
157080039.0,REALTOR,2025,10,10819900.0,313707.0
157089321.0,REALTOR,2024,2,2770000.0,80330.0
157706044.0,REALTOR,2024,1,375000.0,11250.0
157707008.0,REALTOR,2024,3,1927500.0,57825.0
157708390.0,NON-REALTOR,2025,1,416500.0,11662.0
